,time,frame,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1200,2022-11-10 13:11:22.405292,148,2,548.03,261.96,552.2,258.79,545.75,258.81,559.36,262.67,0,0,568.22,284.32,540.76,284.83,587.95,302.98,533.33,305.44,565.97,315.24,541.61,317.98,561.73,337.16,543.84,337.28,563.54,374.19,539.61,374.85,564.51,416.98,533.89,415.8
1209,2022-11-10 13:11:40.685731,149,2,547.4,264.95,551.22,261.88,545.13,261.82,558.98,265.11,0,0,567.48,286.57,540.49,286.91,587.6,304.66,532.02,307.83,565.92,317.39,539.35,319.15,560.74,339.17,543.18,339.28,563.06,375.51,538.52,376.58,563.28,418.21,532.63,418.06
1220,2022-11-10 13:11:59.956186,150,2,544.57,267.17,548.76,263.98,542.69,264.14,556.04,267.75,0,0,565.41,290.11,536.87,290.53,585.5,308.45,529.34,311.48,563.83,320.95,539.8,323,558.67,344.63,540.03,344.46,559.99,380.97,535.54,381.75,560.12,422.47,529.62,421.77
1227,2022-11-10 13:12:18.177813,151,2,542.1,267.08,546.04,263.93,539.65,264.19,552.88,267.78,537.11,268.21,561.55,290.53,533.77,291.45,582.13,307.22,525.94,312.38,560.29,319.77,535.34,324.26,555.5,343.59,537.36,344.01,557.16,380.67,532.76,380.75,557.55,422.84,525.73,422.14
1237,2022-11-10 13:12:38.469659,152,2,538.96,267.04,542.98,263.86,537.03,263.97,550.13,267.47,0,0,558.47,290.26,531.65,289.75,580.39,307.7,523.3,310.69,558.19,320.89,532.31,323.22,552.51,342.71,534.62,342.4,554.75,380.55,530.47,380.21,554.74,422.24,523.43,420.57
1246,2022-11-10 13:13:01.046811,153,2,537.63,267.7,541.53,264.51,535.65,264.54,548.92,268.45,0,0,558.12,290.62,529.93,290.56,579.44,308.19,521.93,310.85,555.9,321.22,529.29,323.5,551.41,343.61,532.89,343.37,553.61,381.91,528.63,381.77,553.67,423.66,521.43,422.58
1256,2022-11-10 13:13:23.365186,154,2,537.94,266.3,541.76,263.04,535.98,263.41,549.22,266.73,0,0,558.55,290.19,530.62,289.4,579.3,307.12,523.05,309.89,557.62,320.3,531.12,322.97,552.28,342.21,533.88,342.17,554.27,378.94,530.06,378.87,554.53,420.96,523.43,419.34
1268,2022-11-10 13:13:46.956407,155,2,540.63,263.55,544.64,260.41,538.46,260.63,551.77,264.3,535.89,264.13,560.22,286.51,533.49,286.77,580.61,303.32,524.69,307.54,559.87,316.15,533.52,318.28,553.66,339.5,536.46,339.25,555.63,375.83,531.79,377.1,556.49,418.31,525.23,417.27
1278,2022-11-10 13:14:12.432589,156,2,542.08,261,545.65,258.13,539.94,258.39,552.62,261.95,0,0,562.3,283.75,533.93,284.46,581.55,300.74,526.27,305.14,560.28,313.7,533.85,315.54,555.27,333.81,538.07,334.16,556.99,373.24,533.21,373.11,558.12,415,526.64,413.89
1288,2022-11-10 13:14:33.868873,157,2,542.21,258.32,546.4,255.22,540.39,255.37,553.46,259.94,0,0,562.02,281.25,535.61,281.53,582.44,297.6,527.16,303.3,561.46,310.63,534.25,312.48,555.91,334.14,537.35,333.31,557.34,372.07,533.34,370.37,557.57,413.28,526.75,412.38
1299,2022-11-10 13:14:51.134093,158,2,540.69,256.7,544.68,253.17,538.52,253.78,552.26,256.52,0,0,560.54,278.29,534.49,279.15,580.43,296.05,525.31,300.11,558.37,308.72,531.99,311.1,554.5,328.51,536.88,328.22,556.03,367.71,531.55,367.55,555.89,410.34,524.79,409.82
1309,2022-11-10 13:15:11.683843,159,2,538.32,252.89,542.43,249.98,536.23,249.78,549.79,253.79,0,0,557.69,274.93,531.13,275.44,577.37,293.86,523.28,296.65,555.99,305.73,529.63,308.81,551.81,327.17,533.62,326.62,553.32,366.28,528.35,365.89,552.93,408.43,520.9,408.42
1321,2022-11-10 13:15:33.231845,160,2,537.78,251.83,541.91,248.64,535.59,248.88,549.13,252.15,534.22,253.43,557.09,273.59,530.84,273.93,577.7,293.41,522.53,295.02,555.18,304.8,527.79,307.33,550.68,325.99,532.57,325.54,552.44,364.44,527.77,363.95,552.47,406.94,520.47,406.12
1331,2022-11-10 13:15:52.660327,161,2,537.25,250.61,541.1,247.3,535.38,247.57,548.22,250.88,0,0,557.11,273.04,530.39,272.48,576.83,292.41,522.41,293.65,555.38,303.26,528.63,306.26,550.26,324.99,533.05,324.72,552.14,363.35,527.27,363.31,551.63,405.53,520.26,404.88
1341,2022-11-10 13:16:12.089904,162,2,536.26,252.21,540.26,248.88,534.1,249.17,547.68,252.07,0,0,555.66,273.34,529.23,274.54,575.6,292.81,522.25,296.89,553.78,304.75,530.33,306.17,548.61,327.19,530.93,326.5,550.84,365.09,525.8,365.35,550.64,407.22,518.27,406.78
1353,2022-11-10 13:16:31.435079,163,2,537.3,252.14,541.42,248.69,535.26,249.02,548.91,252.12,0,0,556.88,273.33,530.39,273.66,577.09,293.14,521.8,294.95,555.07,304.76,528.09,307.26,549.85,326.73,531.79,326.07,552.05,364.76,526.98,364.43,551.89,406.36,520.3,405.04
1361,2022-11-10 13:16:51.741131,164,2,540.35,249.94,544.34,246.84,538.39,247.14,551.84,250.75,0,0,559.36,272.76,533.34,272.26,580.13,290.28,524.88,293.69,558.98,303.45,533.16,306.83,554.12,325.47,536.12,324.33,555.19,363.04,531.05,362.91,555.11,405.36,524.24,404.52
1370,2022-11-10 13:17:14.286005,165,2,544.43,254.77,548.57,251.83,542.95,251.67,556.75,255.93,0,0,564.99,276.32,538.97,276.73,584.01,294.68,530.23,295.31,563.77,307.86,536.09,310.32,558.59,328.2,540.64,328.34,559.61,366.92,535.76,366.73,560.42,409.36,529.42,408.84
1378,2022-11-10 13:17:34.596092,166,2,547.59,257.49,551.69,254.15,545.76,254.13,558.98,257.21,0,0,567.87,277.54,541.17,278.05,586.87,296.3,532.93,298.76,565.92,309.86,539.68,311.5,559.42,329.15,543.07,328.75,562.27,369.15,537.97,368.56,561.83,410.79,530.42,409.89
1386,2022-11-10 13:17:54.008607,167,2,549.09,255.93,553.17,252.6,546.95,252.83,560.24,256.32,0,0,568.87,276.76,541.91,277.59,587.64,294.8,533.58,297.55,566.96,308.45,541.2,311.34,560.45,329.36,543.81,328.75,563.27,367.49,539.12,367.27,562.89,410.17,531.94,408.86
1395,2022-11-10 13:18:13.459287,168,2,550.94,253.63,555.03,250.62,548.84,250.7,562.22,254.04,0,0,570.61,274.3,543.72,274.58,589.19,293.5,535.72,295.33,568.96,306.46,541.83,309.65,562.74,327.72,545.28,326.96,564.85,366.53,540.16,366.56,564.05,407.71,532.55,407.64
1404,2022-11-10 13:18:34.007562,169,2,551.08,254.87,554.78,251.77,548.94,251.93,561.91,254.94,0,0,570.24,275.94,543.24,276.02,589.44,294.76,535.48,296.78,569.05,307.81,541.81,310.4,562.43,328.68,545.5,328.49,564.68,367.07,540.39,367.07,564.35,409.86,532.44,408.67
1414,2022-11-10 13:18:56.604486,170,2,550.5,255.01,554.32,251.84,548.18,252.03,561.21,255.27,0,0,569.71,276.22,542.74,276.26,588.76,294.69,534.58,296.45,568.22,307.59,540.72,310.44,561.38,328.92,544.63,327.7,563.74,366.87,539.61,367.13,563.04,408.97,532,407.8
1425,2022-11-10 13:19:20.371896,171,2,550.85,250.68,554.67,247.63,548.87,247.77,561.77,250.88,0,0,570.15,271.57,543.77,271.28,589.68,291.1,535.05,291.56,567.67,304.1,540.71,305.38,562.27,323.92,544.93,323.47,564.42,362.4,539.73,362.29,563.48,403.9,532.51,402.8
1434,2022-11-10 13:19:46.390262,172,2,551.37,251.21,555.32,248.11,549.44,248.23,562.23,251.76,0,0,571.02,272.19,544.25,272.43,590.1,292.11,535.72,292.29,568.88,303.73,542.11,305.15,563.37,326.3,545.51,325.06,565.26,364.96,540.28,364.87,564.18,406.65,533.02,404.61
1444,2022-11-10 13:20:08.030146,173,2,552.21,253.42,556.47,250.31,550.29,250.45,563.81,253.73,0,0,572.73,274.64,546.07,274.86,590.93,294.13,537.24,295.8,569.98,306.93,543.93,309.5,564.93,328.78,547.04,327.32,566.59,367.57,541.21,366.58,566.63,407.33,534.61,407.35
1454,2022-11-10 13:20:28.577571,174,2,554.39,254.26,558.22,250.8,552.21,251.21,566.07,254.15,0,0,573.77,274.7,547.32,275.16,593.56,294.48,538.55,295.7,570.67,306.28,545.4,310.05,567.3,328.87,549.34,328.34,568.87,366.91,543.26,367.04,568.76,407.26,536.77,407.99
1464,2022-11-10 13:20:49.165719,175,2,556.21,254.6,560.32,251.22,554,251.53,567.86,254.25,0,0,575.66,275.46,549.21,275.49,595.5,294.35,540.93,296.25,573.22,306.6,548.83,310.24,569.66,327.73,552.02,327.49,571.06,366.44,545.99,365.64,570.59,408.28,539.32,407.52
1475,2022-11-10 13:21:08.551899,176,2,558.8,257.77,562.59,254.62,556.56,254.78,569.47,258.2,554.11,258.78,578.71,278.28,551.52,279.39,597.4,297.14,542.82,298.62,575.28,310.69,549.37,311.7,571.71,330.19,553.61,330.05,572.9,370.17,548.37,370.01,573.01,411.19,541.61,411.35
1487,2022-11-10 13:21:33.307574,177,2,557.13,258.7,561.22,255.41,555.21,255.65,568.21,258.68,0,0,577.78,279.48,550.45,280.52,597.15,298.85,541.1,299.78,575.16,311.24,548.8,314.14,570.12,331.64,552.71,330.83,571.22,371.36,547.08,371.91,570.32,411.93,540.09,411.38
1497,2022-11-10 13:21:56.826507,178,2,552.2,257.79,556.1,254.53,550.36,254.82,563.62,257.46,0,0,572.4,278.31,545.64,279.04,590.71,297.74,536.34,300,568.25,308.89,544.82,311.31,564.44,331.06,547.89,331.6,566.4,371.58,541.81,372.35,565.99,410.59,534.34,410.1
1506,2022-11-10 13:22:21.695259,179,2,547.51,257.45,551.77,254.05,545.43,253.92,559.13,257.2,0,0,568.23,277.4,540.15,278.65,586.32,296.82,532.69,300.78,564.33,307.81,540.45,311.79,559.09,328.64,542.16,328.04,560.61,369.18,536.27,369.39,560.55,410.52,528.91,409.81
1516,2022-11-10 13:22:46.237837,180,2,544.36,258.81,548.44,255.54,542.45,255.9,555.93,258.22,0,0,564.93,279.24,537.46,280.82,583.5,297.95,529.67,300.86,562.55,311.01,536.98,314.08,557.54,329.46,539.39,329.82,557.32,368.02,534.35,368.66,558.35,411.03,527,411.31
1526,2022-11-10 13:23:09.800131,181,2,543.27,257.33,547.33,254.1,541.3,254.18,554.67,257.11,0,0,563.84,277.7,535.85,278.97,582.63,297.49,527.57,298.72,559.74,309.2,534.85,311.58,556.4,327.62,538.44,328.19,556.99,367.92,532.88,368.06,556.61,410.43,524.42,410.58
1536,2022-11-10 13:23:33.371898,182,2,542.6,256.45,546.45,253.27,540.51,253.33,553.48,256.3,0,0,563.16,276.85,535.06,278,581.8,295.6,526.69,297.65,559.99,307.53,533.69,310.47,555.8,329.06,537.71,328.88,556.65,367.63,532.53,367.61,556.26,409.75,524.79,409.37
1546,2022-11-10 13:23:57.141716,183,2,541.2,257.35,545.42,254.03,539.39,254.3,553.1,257.27,0,0,562.25,277.61,534.66,278.99,581.05,296.69,525.14,298.75,557.84,309.25,532.2,311.96,553.89,329.66,536.85,329.03,555.61,368.18,531.48,368.46,554.89,410.91,523.31,410.7
1554,2022-11-10 13:24:17.677497,184,2,540.84,257.98,545.01,254.61,538.72,254.97,552.53,258.15,0,0,561.44,278.94,534.16,279.44,580.31,297.46,523.77,299.32,557.43,309.53,531.23,311.82,553.9,329.66,536.52,329.07,554.85,368.32,530.53,368.46,554.01,410.72,523.07,410.09
1563,2022-11-10 13:24:40.344150,185,2,539.39,253.46,543.39,250.34,537.27,250.38,551.01,253.7,0,0,559.06,274.75,531.71,275.13,579.12,292.75,523.04,295.52,556.38,305.69,530.73,308.42,553.13,329.06,534.45,328.65,553.5,367.01,528.15,367.1,552.3,407.27,521.33,407.64
1571,2022-11-10 13:25:02.993498,186,2,537.92,251.36,541.63,248.01,535.77,248.4,549.08,251.09,0,0,558.15,273.09,530.61,272.64,577.74,291.46,521.77,293.21,555.77,304.3,528.12,306.67,551.14,324.88,532.28,324.84,552.23,363.8,527.13,364.23,551.54,404.06,519.81,404.06
1580,2022-11-10 13:25:26.662480,187,2,537.68,250.94,541.37,247.58,535.62,248.02,548.72,250.65,0,0,558.22,272.42,530.54,272.31,577.1,291.1,521.31,292.8,555.8,303.07,528.14,306.1,550.88,324.17,532.71,324.87,552.24,362.72,527.34,362.86,552.03,403.24,520.11,403.81
1588,2022-11-10 13:25:45.923669,188,2,538.57,250.57,542.16,247.34,536.39,247.76,549.59,250.19,0,0,559.02,272.38,531.27,271.86,578.32,291.3,521.66,292.12,556.34,302.91,529.17,304.18,551.65,325.48,533.25,324.77,553.05,363.49,528.26,363.86,552.96,402.87,521.2,403.61
1598,2022-11-10 13:26:05.131575,189,2,539.61,249.26,543.42,246.01,537.28,246.37,550.52,249.17,0,0,559.54,270.43,531.86,270.62,578.98,289.44,522.72,291.58,556,301.38,530.38,303.16,552.42,324.33,534.04,323.87,553.8,362.95,529.23,363.37,553.28,402.85,521.31,403.05
1607,2022-11-10 13:26:24.504893,190,2,538.41,248.1,542.08,244.77,536.15,245.13,549.09,247.43,0,0,557.71,269.44,530.75,269.95,576.7,287.94,521.33,289.78,554.53,299.11,528.15,301.72,550.38,322.19,532.71,321.9,551.79,359.65,527.23,360.27,552.04,400.02,519.93,400.44
1619,2022-11-10 13:26:44.912231,191,2,536.33,247.14,540.09,243.93,534.06,244.19,547.04,246.95,531.58,247.34,555.77,268.22,528.34,269.04,575.05,287.47,519.57,288.88,551.91,299.42,527.54,301.45,548.4,320.98,530.18,321.71,550.14,358.3,525.85,360.06,550.18,400,518.03,400.77
1629,2022-11-10 13:27:02.195521,192,2,535.55,249.35,538.98,245.98,533.23,246.56,545.87,248.71,530.96,250.15,555.02,270.71,526.9,271.2,573.85,289.52,518.47,291.13,551.94,301.17,525.68,302.97,547.59,323.46,529.42,324.53,549.4,362.19,524.74,362.96,549.15,402.85,515.99,403.88
1639,2022-11-10 13:27:20.606263,193,2,535.03,246.79,538.6,243.65,532.75,243.71,545.74,246.1,530.94,247.45,554.93,267.87,526.97,268.81,573.62,286.86,518.48,288.59,551.81,298.79,525.87,301.19,548.21,320.38,529.59,320.75,549.62,358.82,524.98,360.02,549.33,399.44,517.1,400.41
1650,2022-11-10 13:27:40.140429,194,2,535.73,245.46,539.47,242.25,533.35,242.43,546.4,245.25,531.33,246.15,555.53,266.38,527.63,267.41,574.29,285.61,519.2,287.62,551.68,297,527.29,300.33,548.34,319.58,530.33,320.01,549.98,358.4,525.06,359.45,549.86,398.91,517.88,399.03
1660,2022-11-10 13:27:59.563833,195,2,536.16,244.83,539.93,241.39,534.09,241.76,547.4,243.99,0,0,556.61,265.25,528.94,266.67,575.67,283.62,520.18,286.37,554.17,295.97,528.79,299.37,549.3,318.27,531.62,318.28,550.73,354.44,526.48,356.26,550.98,396.46,519.17,396.32
1672,2022-11-10 13:28:18.839044,196,2,539.1,242.44,542.68,239.03,536.89,239.55,549.66,241.94,534.32,242.78,559.16,263.54,531.96,264.27,578.36,282.09,521.61,283.61,556.28,293.65,529.33,295.76,551.84,315.04,534.49,314.39,553.38,354.06,528.43,354.32,552.76,395.05,521.28,395.03
1682,2022-11-10 13:28:36.200318,197,2,540.56,241.61,544.65,238.2,538.3,238.74,552.08,241.17,0,0,561,262.26,533.56,263.6,580.03,280.98,523.61,283.35,557.74,293.75,531.35,295.68,554.27,313.45,535.89,313.58,554.94,351.54,530.19,351.9,554.16,394.57,522.87,394.34
1691,2022-11-10 13:28:53.394541,198,2,542.96,240.78,546.67,237.33,540.86,237.71,553.39,240.26,538.26,241.3,562.99,261.51,535.13,262.77,581.4,279.83,526.02,281.74,559.5,291.99,532.7,294.35,556.28,313.19,537.55,313.03,556.62,351.82,532.54,351.87,556.63,393.37,525.07,393.2
1701,2022-11-10 13:29:10.688843,199,2,545.18,237.13,549.17,234.36,542.89,234.37,556.29,238.05,540.81,237.85,565.01,258.26,537.56,258.88,584.16,276.31,529.34,279.02,562.84,290.26,536.8,293.23,558.75,310.79,540.02,310.98,559.49,348.49,534.6,349.41,559.38,389.42,528,388.34
1711,2022-11-10 13:29:28.917120,200,2,548.63,233.7,552.48,230.44,546.27,230.58,559.83,233.24,0,0,567.99,254.89,541.01,255.41,587.59,273.65,532.07,275.15,565.09,286.37,538.73,287.83,560.97,308.79,542.91,308.58,562.63,346.69,537.5,346.01,561.6,387.18,529.51,386.74
1721,2022-11-10 13:29:49.322144,201,2,549.06,233.2,553.01,230.03,546.77,230.08,560.04,233.14,0,0,569.02,254.06,541.53,255.06,589.06,273.52,532.85,274.18,565.85,285.37,539.2,287.45,562.05,306.15,544.35,307.06,563.35,344.02,538.3,344.61,562.2,386.08,530.74,385.9
1733,2022-11-10 13:30:09.872777,202,2,548.58,233.24,552.46,229.96,546,229.89,559.59,232.97,0,0,568.51,254.02,540.69,254.76,587.76,273.32,531.81,274.25,564.08,285.75,539.04,286.66,561.01,307.27,542.47,307.76,562.26,345.88,536.72,345.87,560.65,386.78,529.13,385.89
1742,2022-11-10 13:30:29.356804,203,2,546.51,235.11,550.39,231.8,544.4,231.94,557.36,234.96,542.36,235.9,566.07,256.27,538.42,256.49,585.53,275.82,529.72,275.78,563.78,287.91,536.79,290.01,557.97,309.23,539.81,309.53,559.01,346.74,534.3,347.22,558.6,388.94,526.99,387.76
1753,2022-11-10 13:30:49.891811,204,2,543.4,240.29,547.24,236.86,541.52,237.05,554.21,239.91,0,0,562.72,261.17,535.24,261.53,582.6,280.63,526.46,281.14,559.73,292.67,532.64,294.29,555.64,312.94,537.65,312.67,555.75,350.97,531.59,350.9,555.38,393.1,524.43,392.94
1763,2022-11-10 13:31:08.351595,205,2,542.59,241.44,546.26,238.32,540.1,238.65,552.74,241.77,537.41,242.13,561.63,262.86,534.32,264.11,581.86,282.05,524.63,283.23,557.72,294.13,532.2,296.74,554.89,313.22,536.74,313.28,554.77,353.16,530.53,353.76,553.47,396.31,522.41,394.95
1774,2022-11-10 13:31:29.786097,206,2,540.51,243.44,544.35,240.12,538.18,240.29,550.95,243.52,535.7,243.75,559.18,265.49,532.63,265.47,579.06,283.54,522.8,285.91,557.03,295.17,529.92,298.43,551.27,315.86,534.52,314.26,552.53,353.7,527.31,353.69,552.11,395.57,520.87,395.06
1784,2022-11-10 13:31:52.455993,207,2,535.63,247.19,539.19,244.07,533.57,244.15,545.71,247.11,531.3,248.15,553.66,269.08,526.85,269.3,574.16,288.32,518.62,289.33,551.59,299.44,525.22,301.53,546.6,320.37,529.43,320.2,547.96,358.3,523.25,359.47,547.32,400.5,515.85,400.2
1795,2022-11-10 13:32:17.090663,208,2,533.15,250.79,537.13,247.63,530.88,247.54,543.87,250.69,528.38,251.22,550.92,272.7,525.26,272.82,571.95,291.14,516.14,293.76,549.88,303.94,522.99,304.84,544.45,324.92,527.24,324.78,545.76,362.79,520.53,362.52,545.11,404.16,513.57,403.03
1806,2022-11-10 13:32:39.767807,209,2,530.9,254.52,534.97,251.19,528.87,251.24,541.86,254.21,0,0,549.42,275.03,522.89,275.77,569.41,294.4,514.35,295.56,547.24,306.65,519.96,309.96,542.66,328.26,524.58,328.38,543.64,365.37,518.52,366.07,543.52,407.72,512.44,407.05
1817,2022-11-10 13:33:02.240392,210,2,530.84,257.3,534.77,253.9,528.83,253.93,541.85,257.22,0,0,549.56,277.98,523.27,278.29,569.13,296.57,513.62,297.36,547.13,309.67,520.24,310.59,542.3,330.8,525.08,330.08,543.36,367.65,518.35,368.07,543.69,410.19,512.6,409.32
1829,2022-11-10 13:33:21.578093,211,2,530.27,258.48,534.04,255.12,528.39,255.48,540.79,258.69,0,0,548.68,279.88,522.4,280.66,568.29,298.34,512.66,299.54,546.94,312.13,520.09,313.08,541.77,331.1,523.84,330.6,542.28,368.84,518.2,369.41,541.89,412.72,510.79,410.58
1839,2022-11-10 13:33:42.950915,212,2,527.97,260.6,531.79,257.43,525.83,257.76,538.26,260.75,523.25,260.98,546.96,281.31,519.72,282.21,566.03,300.53,510.04,301,544.56,312.44,515.68,314,539.43,332.55,522.01,331.58,540.32,371.33,515.72,371,538.68,413.97,507.75,412.47
1849,2022-11-10 13:34:05.475605,213,2,524.66,261.79,528.79,258.47,522.59,258.67,535.75,261.9,0,0,543.89,283.49,516.58,283.94,563.34,302.83,507.21,304.51,540.19,313.76,514.24,316.29,536.32,336.05,518.07,336.01,537.07,373.91,511.59,373.93,535.8,413.26,504.01,414.2
1859,2022-11-10 13:34:30.143927,214,2,523.41,258.97,527.24,255.77,521.32,255.74,533.88,259.49,518.37,259.23,540.69,280.67,514.67,281.45,561.42,299.41,505.02,301.72,540.17,310.29,513.77,313.54,533.8,332.62,516.29,332.76,535.09,369.95,509.53,370.9,533.75,409.83,503.08,408.87
1868,2022-11-10 13:34:53.766663,215,2,519.27,250.39,522.96,247.33,517.21,247.33,529.46,250.67,0,0,538.05,272.1,510.82,272.92,556.99,291.54,501.61,292.16,536.29,302.66,509.17,304.87,530.81,323.11,512.58,323.5,531.76,362.18,506.12,362.34,530.42,402.43,497.66,402.29
1878,2022-11-10 13:35:15.192783,216,2,517.63,246.6,521.4,243.57,515.56,243.42,528.28,246.87,0,0,536.34,268.38,510.01,269.27,556.15,287.98,500.75,288.27,533.84,299.54,506.88,300.74,529.52,320.21,511.94,320.65,530.84,358.39,505.53,358.88,529.8,399.82,497.92,398.52
1887,2022-11-10 13:35:35.697468,217,2,519.58,245.6,523.38,242.05,517.38,242.39,530.75,245.24,0,0,538.92,268.1,512.03,268.81,558.31,287.04,502.52,286.79,535.96,298.63,508.99,299.37,531.91,320.38,514.17,320.68,533.02,358.77,508.17,358.42,532.86,400.19,501.12,397.96
1894,2022-11-10 13:35:58.185651,218,2,528.25,246.4,532.02,242.87,526.24,242.79,539.81,245.92,0,0,548.36,264.99,520.78,265.2,567.71,287.38,512.64,290.02,547.1,297.03,0,0,541.89,315.81,524.01,316.92,542.78,356.84,517.49,358.72,541.74,399.38,512.19,395.59
1897,2022-11-10 13:36:19.712093,219,2,0,0,0,0,0,0,0,0,0,0,558.91,274.92,533.27,272.2,582.44,296.75,526.08,296.39,0,0,0,0,553.32,329.56,536.43,329.89,554.01,368.28,529.03,366.88,550.4,409.85,522.97,403.21
1901,2022-11-10 13:36:36.879838,220,2,545.3,259.05,549.42,255.89,543.72,255.81,556.59,258.95,0,0,564.25,280.42,537.85,281.17,583.23,298.67,528.27,300.1,562.1,312.49,535.51,313.09,556.88,332.3,538.66,331.7,557.17,372.98,532.48,369.83,555.38,411.84,524.93,410.09
1912,2022-11-10 13:36:55.144936,221,2,0,0,0,0,0,0,553.78,252.95,0,0,561.66,273.66,533.16,272.48,579.84,293.53,522.82,294.62,563.62,299.57,530.97,306.55,552.56,326.27,534.14,326.22,553.24,365.67,528.34,363.13,551.16,405.71,520.65,400
1919,2022-11-10 13:37:13.462673,222,2,534.52,250.34,537.93,246.88,532.04,247.19,545.32,250.07,0,0,552.79,271.07,526.11,271.93,572.83,290.23,517.81,293,552.62,300.33,523.57,313.07,545.61,324.3,527.7,323.94,546.17,364.2,520.79,361.98,543.95,405.56,513.37,400.2
1925,2022-11-10 13:37:31.801733,223,2,528.78,249.95,532.43,246.64,526.76,246.72,539.77,249.97,0,0,547.78,271.96,520.28,271.76,567.32,292.16,511.54,291.08,545.94,302.08,519.47,304.22,541.72,322.4,522.42,322.87,540.43,362.19,516.06,361.57,539.39,403.06,508.26,401.58
1934,2022-11-10 13:37:50.219492,224,2,527.08,248.58,530.88,245.44,524.94,245.59,537.47,248.9,522.83,249.23,545.37,270.43,518.85,271.41,566.03,290.82,509,290.2,544.12,300.31,515.83,302.72,538.88,322.07,521.03,322.42,539.89,360.19,514.75,361.71,537.76,402.2,506.16,402.8
1943,2022-11-10 13:38:10.720780,225,2,527.32,250.71,531.11,247.57,525.2,247.84,538.29,250.82,522.96,251.19,546.26,272.51,518.86,272.35,566,292.03,509.17,291.83,544.28,303.36,516.02,305.35,539.27,324.47,521.26,324.07,539.85,360.92,515.34,362.47,538.42,403.68,507.26,404.57
1953,2022-11-10 13:38:31.060736,226,2,527.97,251.33,531.81,248.19,525.9,248.36,538.54,251.89,523.68,252.27,546.71,274.04,519.35,273.5,567.54,293.13,509.96,293.1,545.59,304.35,517.08,305.98,539.94,323.34,521.9,324.34,540.59,362.52,516.08,362.31,539.37,405.15,508.15,404.32
1962,2022-11-10 13:38:51.565555,227,2,530.96,252.54,535.14,249.34,528.96,249.1,541.97,252.88,0,0,549.54,274.04,522.63,274.5,570,293.07,514.3,293.9,548.06,304.6,520.96,306.98,543.45,327.22,524.77,327.12,543.98,365.01,518.28,364.06,542.28,406.77,510.23,406.77
1971,2022-11-10 13:39:10.970545,228,2,532.58,253.05,536.83,250.06,530.53,249.67,545,254.06,0,0,552.1,274.66,523.89,274.95,571.13,292.71,515,294.69,549.7,304.81,523.03,306.49,545.19,329.51,526.57,329.17,545.71,365.21,519.82,364.67,544,405.36,512.81,405.3
1980,2022-11-10 13:39:29.302449,229,2,535.57,253.27,539.66,250.01,533.53,249.96,546.76,253.07,0,0,555.89,274.78,527.14,274.69,574.84,294.26,518.24,294.58,552.17,305.16,525.21,306.83,548.28,325.91,529.59,326.17,548.07,363.47,523.7,363.69,547.38,406.08,515.99,406.81
1989,2022-11-10 13:39:49.789728,230,2,537.72,254.07,541.71,250.94,535.39,250.85,550.08,255.39,0,0,557.08,276.17,528.74,275.97,574.95,293.9,519.3,295.88,554.05,305.75,527.48,309.41,549.35,329.24,530.62,329.49,550.23,366.56,524.62,366.63,548.7,407.18,516.45,407.71
1998,2022-11-10 13:40:08.176534,231,2,536.78,254.57,540.47,251.14,534.4,251.55,547.83,254.33,532.03,255.15,555.23,276.6,528.24,276.76,574.97,295.22,518.78,296.38,553,305.63,526.21,309.1,548.75,328.65,530.02,327.7,549.28,366.17,524,365.82,548.15,407.77,516.44,407.36
2007,2022-11-10 13:40:27.595948,232,2,539.98,254.34,543.75,251.11,537.8,251.19,550.96,254.49,534.87,255.1,559.22,276.84,531.99,276.94,579.41,294.88,522.19,296.33,556.44,305.96,529.92,309.04,553,329.6,535.06,329.43,554.02,367.6,527.93,366.7,552.46,407.95,521.61,405.91
2017,2022-11-10 13:40:50.004599,233,2,544.19,254.52,547.95,251.28,541.86,251.36,555.5,254.71,0,0,564.22,276.57,536.62,277.59,583.58,295.01,527.39,296.78,562.09,306.24,536.02,309.6,557.08,329.55,539.31,328.91,558.38,367.49,532.82,367.02,557.87,407.35,525.59,408.16
2026,2022-11-10 13:41:09.371079,234,2,549.41,256.92,553.28,253.54,547.03,253.69,560.41,256.69,0,0,568.76,278.7,541.06,280.31,587.94,297.06,532.35,299.12,567.42,308.84,540.81,311.53,561.85,330.69,544.04,330.23,563.38,368.57,538.14,368.18,562.06,409.61,531.38,408.88
2035,2022-11-10 13:41:26.639056,235,2,553.08,258.36,556.57,254.93,551.09,255.38,563.74,258.55,0,0,572.27,280.89,545.57,281.7,592.5,299.49,536.45,300.45,571.19,310.11,544.94,313.61,565.5,330.48,548.29,330.74,566.86,369.4,541.71,369.12,566.13,410.7,535.07,410.86
